x,y,z,value1,value2,value3    
5,5,0,-0.420652E+00,0.000000E+00,0.880342E-01
6,5,0,-0.519881E+00,0.000000E+00,0.593912E-01
7,5,0,-0.557012E+00,0.000000E+00,0.506053E-01
8,5,0,-0.519354E+00,0.000000E+00,0.538068E-01
9,5,0,-0.431500E+00,0.000000E+00,0.655503E-01
10,5,0,-0.321695E+00,0.760478E-01,0.547077E-01
11,5,0,-0.241728E+00,0.524016E-01,0.265936E-01
12,5,0,-0.258590E+00,0.223862E-02,0.467298E-01
13,5,0,-0.335834E+00,0.719254E-01,0.127006E+00
14,5,0,-0.404786E+00,0.810643E-01,0.930645E-01
15,5,0,-0.457213E+00,0.100731E+00,0.101825E+00
16,5,0,-0.527199E+00,0.768008E-01,0.799476E-01
17,5,0,-0.554043E+00,0.660650E-01,0.694789E-01
18,5,0,-0.521319E+00,0.684299E-01,0.742325E-01
19,5,0,-0.455491E+00,0.729488E-01,0.827522E-01
20,5,0,-0.359385E+00,0.119678E+00,0.115669E+00
21,5,0,-0.297014E+00,0.989487E-01,0.132178E+00
22,5,0,-0.228669E+00,0.112741E-01,0.143152E+00
23,5,0,-0.168346E+00,0.513044E-01,0.197463E-01
24,5,0,-0.145524E+00,0.120747E+00,0.433086E-01
25,5,0,-0.113431E+00,0.641112E-02,0.649350E-02
26,5,0,-0.117052E+00,0.656419E-02,0.620779E-02
27,5,0,-0.127849E+00,0.759916E-02,0.481522E-01
0,6,0,-0.163180E+00,0.134965E-01,0.860378E-01
1,6,0,-0.197536E+00,0.167738E+00,0.228781E-01
2,6,0,-0.264188E+00,0.340650E-02,0.679463E-01
3,6,0,-0.365817E+00,0.000000E+00,0.850746E-01
4,6,0,-0.542591E+00,0.000000E+00,0.528982E-01
5,6,0,-0.716805E+00,0.000000E+00,0.361409E-01
6,6,0,-0.816327E+00,0.000000E+00,0.343242E-01
7,6,0,-0.804389E+00,0.000000E+00,0.350147E-01
8,6,0,-0.684507E+00,0.000000E+00,0.401190E-01
9,6,0,-0.509180E+00,0.000000E+00,0.556540E-01
10,6,0,-0.347531E+00,0.802138E-01,0.624467E-02
11,6,0,-0.257498E+00,0.908564E-01,0.285676E-01
12,6,0,-0.310841E+00,0.000000E+00,0.219867E-02
13,6,0,-0.345542E+00,0.119337E+00,0.219344E-02
14,6,0,-0.414852E+00,0.109181E+00,0.110126E+00
15,6,0,-0.489621E+00,0.797655E-01,0.816685E-01
16,6,0,-0.528240E+00,0.725994E-01,0.726576E-01
17,6,0,-0.519349E+00,0.716119E-01,0.732465E-01
18,6,0,-0.469515E+00,0.741523E-01,0.783107E-01
