x,y,z,water,no3,na
4.677419,0.483871,0.000000,19.14248638,0.00358266,-0.00024926
4.838710,0.483871,0.000000,18.52306936,0.00338738,-0.00024784
5.000000,0.483871,0.000000,16.84301971,0.00293219,-0.00032889
0.000000,0.645161,0.000000,18.27629083,0.00331211,-0.00019980
0.161290,0.645161,0.000000,18.31622893,0.00334417,-0.00014668
0.322581,0.645161,0.000000,18.29343087,0.00345149,-0.00014916
0.483871,0.645161,0.000000,18.28007974,0.00338156,-0.00015350
0.645161,0.645161,0.000000,18.14227330,0.00339363,-0.00015657
0.806452,0.645161,0.000000,18.20453633,0.00341038,-0.00015942
0.967742,0.645161,0.000000,18.63799325,0.00349657,-0.00016597
1.129032,0.645161,0.000000,18.88155144,0.00367833,-0.00017099
1.290323,0.645161,0.000000,18.96459401,0.00347809,-0.00017973
1.451613,0.645161,0.000000,19.16072275,0.00359226,-0.00018124
1.612903,0.645161,0.000000,18.69670840,0.00354511,-0.00018244
1.774194,0.645161,0.000000,18.64222700,0.00357688,-0.00018517
1.935484,0.645161,0.000000,18.40445178,0.00343174,-0.00018830
2.096774,0.645161,0.000000,18.31946046,0.00343937,-0.00019201
2.258065,0.645161,0.000000,18.28356042,0.00343460,-0.00019437
2.419355,0.645161,0.000000,18.66217249,0.00351088,-0.00020098
2.580645,0.645161,0.000000,18.88155144,0.00368609,-0.00020616
2.741935,0.645161,0.000000,18.96459401,0.00348514,-0.00021589
2.903226,0.645161,0.000000,19.16072275,0.00359953,-0.00021687
3.064516,0.645161,0.000000,18.69670840,0.00355226,-0.00021744
3.225806,0.645161,0.000000,18.64222700,0.00358407,-0.00021980
3.387097,0.645161,0.000000,18.40445178,0.00343859,-0.00022258
3.548387,0.645161,0.000000,18.31946046,0.00344619,-0.00022599
3.709677,0.645161,0.000000,18.28356042,0.00344134,-0.00022778
3.870968,0.645161,0.000000,18.66217249,0.00351770,-0.00023447
4.032258,0.645161,0.000000,18.88155144,0.00369315,-0.00023940
4.193548,0.645161,0.000000,18.96459401,0.00349171,-0.00024953
4.354839,0.645161,0.000000,19.16072275,0.00360619,-0.00024946
4.516129,0.645161,0.000000,18.69670840,0.00355871,-0.00024889
4.677419,0.645161,0.000000,18.64222700,0.00356627,-0.00025126
4.838710,0.645161,0.000000,18.40445178,0.00334312,-0.00025407
5.000000,0.645161,0.000000,16.82123297,0.00293518,-0.00033819
0.000000,0.806452,0.000000,18.02640763,0.00335480,-0.00020157
0.161290,0.806452,0.000000,18.09514928,0.00326897,-0.00014875
0.322581,0.806452,0.000000,17.99642321,0.00334991,-0.00015181
0.483871,0.806452,0.000000,18.16426816,0.00339554,-0.00015548
0.645161,0.806452,0.000000,18.47786056,0.00344781,-0.00016141
0.806452,0.806452,0.000000,18.81615599,0.00366190,-0.00016687
0.967742,0.806452,0.000000,18.95857939,0.00347479,-0.00017594
1.129032,0.806452,0.000000,19.16072275,0.00359142,-0.00017761
1.290323,0.806452,0.000000,18.69670840,0.00354440,-0.00017896
1.451613,0.806452,0.000000,18.64222700,0.00357619,-0.00018182
1.612903,0.806452,0.000000,18.40445178,0.00343110,-0.00018507
1.774194,0.806452,0.000000,18.31946046,0.00343876,-0.00018892
1.935484,0.806452,0.000000,18.28356042,0.00343402,-0.00019145
2.096774,0.806452,0.000000,18.66217249,0.00351032,-0.00019817
2.258065,0.806452,0.000000,18.88155144,0.00368554,-0.00020350
2.419355,0.806452,0.000000,18.96459401,0.00348465,-0.00021335
2.580645,0.806452,0.000000,19.16072275,0.00359907,-0.00021457
2.741935,0.806452,0.000000,18.69670840,0.00355185,-0.00021539
2.903226,0.806452,0.000000,18.64222700,0.00358370,-0.00021798
3.064516,0.806452,0.000000,18.40445178,0.00343828,-0.00022101
3.225806,0.806452,0.000000,18.31946046,0.00344594,-0.00022468
3.387097,0.806452,0.000000,18.28356042,0.00344114,-0.00022674
3.548387,0.806452,0.000000,18.66217249,0.00351755,-0.00023370
3.709677,0.806452,0.000000,18.88155144,0.00369306,-0.00023893
3.870968,0.806452,0.000000,18.96459401,0.00349169,-0.00024936
4.032258,0.806452,0.000000,19.16072275,0.00360623,-0.00024963
4.193548,0.806452,0.000000,18.69670840,0.00355883,-0.00024940
4.354839,0.806452,0.000000,18.64222700,0.00359060,-0.00025118
4.516129,0.806452,0.000000,18.40445178,0.00344479,-0.00025341
4.677419,0.806452,0.000000,18.31946046,0.00343133,-0.00025729
4.838710,0.806452,0.000000,18.28356042,0.00332245,-0.00025929
5.000000,0.806452,0.000000,16.79696188,0.00293583,-0.00034768
0.000000,0.967742,0.000000,17.80123439,0.00324044,-0.00020553
0.161290,0.967742,0.000000,18.02398699,0.00330495,-0.00015107
0.322581,0.967742,0.000000,18.31128228,0.00338587,-0.00015646
0.483871,0.967742,0.000000,18.70723498,0.00362657,-0.00016230
0.645161,0.967742,0.000000,18.74087851,0.00344447,-0.00016956
0.806452,0.967742,0.000000,19.01351929,0.00355006,-0.00017282
0.967742,0.967742,0.000000,18.69181004,0.00354045,-0.00017504
1.129032,0.967742,0.000000,18.64222700,0.00357531,-0.00017803
1.290323,0.967742,0.000000,18.40445178,0.00343036,-0.00018139
1.451613,0.967742,0.000000,18.31946046,0.00343804,-0.00018535
1.612903,0.967742,0.000000,18.28356042,0.00343332,-0.00018802
1.774194,0.967742,0.000000,18.66217249,0.00350963,-0.00019483
1.935484,0.967742,0.000000,18.88155144,0.00368485,-0.00020029
2.096774,0.967742,0.000000,18.96459401,0.00348403,-0.00021021
2.258065,0.967742,0.000000,19.16072275,0.00359846,-0.00021164
2.419355,0.967742,0.000000,18.69670840,0.00355130,-0.00021270
2.580645,0.967742,0.000000,18.64222700,0.00358318,-0.00021551
2.741935,0.967742,0.000000,18.40445178,0.00343783,-0.00021876
2.903226,0.967742,0.000000,18.31946046,0.00344552,-0.00022266
3.064516,0.967742,0.000000,18.28356042,0.00344078,-0.00022498
3.225806,0.967742,0.000000,18.66217249,0.00351723,-0.00023217
3.387097,0.967742,0.000000,18.88155144,0.00369278,-0.00023767
3.548387,0.967742,0.000000,18.96459401,0.00349148,-0.00024837
3.709677,0.967742,0.000000,19.16072275,0.00360609,-0.00024896
3.870968,0.967742,0.000000,18.69670840,0.00355875,-0.00024906
4.032258,0.967742,0.000000,18.64222700,0.00359059,-0.00025118
4.193548,0.967742,0.000000,18.40445178,0.00344484,-0.00025376
4.354839,0.967742,0.000000,18.31946046,0.00345242,-0.00025703
4.516129,0.967742,0.000000,18.28356042,0.00344754,-0.00025840
4.677419,0.967742,0.000000,18.66217249,0.00350744,-0.00026634
4.838710,0.967742,0.000000,18.88155144,0.00348008,-0.00027229
5.000000,0.967742,0.000000,16.90637219,0.00293248,-0.00036110
0.000000,1.129032,0.000000,18.13064818,0.00330175,-0.00021202
0.161290,1.129032,0.000000,18.52730532,0.00347646,-0.00015757
0.322581,1.129032,0.000000,18.58174672,0.00339270,-0.00016434
0.483871,1.129032,0.000000,18.98351422,0.00353622,-0.00016835
0.645161,1.129032,0.000000,18.50473106,0.00350097,-0.00016964
0.806452,1.129032,0.000000,18.48216133,0.00353009,-0.00017264
0.967742,1.129032,0.000000,18.36559002,0.00341790,-0.00017710
1.129032,1.129032,0.000000,18.31946046,0.00343675,-0.00018134
1.290323,1.129032,0.000000,18.28356042,0.00343254,-0.00018414
1.451613,1.129032,0.000000,18.66217249,0.00350886,-0.00019100
1.612903,1.129032,0.000000,18.88155144,0.00368406,-0.00019655
1.774194,1.129032,0.000000,18.96459401,0.00348331,-0.00020650
1.935484,1.129032,0.000000,19.16072275,0.00359775,-0.00020813
2.096774,1.129032,0.000000,18.69670840,0.00355063,-0.00020940
2.258065,1.129032,0.000000,18.64222700,0.00358254,-0.00021241
2.419355,1.129032,0.000000,18.40445178,0.00343725,-0.00021586
2.580645,1.129032,0.000000,18.31946046,0.00344499,-0.00021997
2.741935,1.129032,0.000000,18.28356042,0.00344029,-0.00022252
2.903226,1.129032,0.000000,18.66217249,0.00351678,-0.00022991
3.064516,1.129032,0.000000,18.88155144,0.00369236,-0.00023565
3.225806,1.129032,0.000000,18.96459401,0.00349114,-0.00024657
3.387097,1.129032,0.000000,19.16072275,0.00360579,-0.00024747
3.548387,1.129032,0.000000,18.69670840,0.00355852,-0.00024789
3.709677,1.129032,0.000000,18.64222700,0.00359042,-0.00025033
3.870968,1.129032,0.000000,18.40445178,0.00344475,-0.00025324
